iter	Passed	Remaining
0	160	160070
1	164	82092
2	171	57116
3	176	44012
4	181	36060
5	188	31226
6	199	28337
7	214	26579
8	224	24740
9	248	24564
10	274	24709
11	279	22978
12	288	21893
13	291	20508
14	293	19241
15	294	18125
16	296	17160
17	301	16429
18	304	15728
19	306	15030
20	312	14568
21	314	13998
22	316	13451
23	318	12942
24	319	12471
25	321	12042
26	326	11773
27	328	11410
28	330	11062
29	331	10729
30	333	10414
31	334	10122
32	335	9844
33	341	9695
34	343	9474
35	345	9245
36	346	9021
37	348	8812
38	349	8611
39	351	8426
40	354	8300
41	357	8156
42	359	7991
43	360	7829
44	361	7675
45	362	7528
46	364	7394
47	365	7258
48	370	7185
49	372	7068
50	373	6952
51	374	6833
52	376	6719
53	377	6613
54	379	6517
55	380	6419
56	382	6332
57	384	6242
58	385	6154
59	387	6066
60	388	5980
61	390	5901
62	391	5819
63	393	5748
64	397	5721
65	399	5659
66	401	5591
67	402	5521
68	404	5453
69	405	5389
70	406	5324
71	410	5296
72	413	5248
73	415	5195
74	416	5138
75	418	5083
76	419	5027
77	420	4974
78	425	4965
79	429	4933
80	430	4886
81	432	4837
82	432	4782
83	434	4734
84	435	4689
85	437	4647
86	440	4624
87	442	4590
88	444	4548
89	445	4506
90	446	4463
91	448	4422
92	449	4382
93	450	4343
94	454	4327
95	456	4301
96	458	4270
97	459	4233
98	461	4197
99	462	4161
100	463	4126
101	464	4092
102	465	4058
103	471	4064
104	473	4034
105	474	4002
106	476	3972
107	477	3943
108	478	3912
109	479	3883
110	481	3853
111	487	3863
112	489	3839
113	490	3814
114	492	3787
115	493	3760
116	494	3732
117	495	3705
118	499	3698
119	501	3679
120	503	3656
121	504	3632
122	505	3607
123	507	3583
124	508	3559
125	509	3535
126	510	3510
127	514	3507
128	517	3491
129	518	3471
130	520	3449
131	521	3428
132	522	3407
133	524	3386
134	525	3365
135	526	3347
136	530	3341
137	532	3325
138	533	3306
139	535	3286
140	536	3266
141	536	3244
142	538	3225
143	539	3206
144	540	3187
145	543	3181
146	546	3170
147	547	3154
148	549	3137
149	550	3120
150	551	3102
151	552	3084
152	554	3067
153	555	3050
154	560	3053
155	562	3041
156	563	3025
157	564	3009
158	566	2994
159	567	2978
160	568	2960
161	569	2945
162	574	2951
163	577	2945
164	580	2936
165	581	2922
166	583	2908
167	584	2894
168	588	2893
169	590	2883
170	592	2870
171	593	2857
172	594	2843
173	596	2830
174	597	2817
175	598	2803
176	603	2808
177	606	2800
178	608	2788
179	609	2776
180	611	2768
181	613	2756
182	614	2745
183	621	2758
184	623	2746
185	625	2736
186	627	2726
187	628	2715
188	632	2714
189	637	2715
190	638	2706
191	640	2695
192	642	2687
193	644	2677
194	649	2683
195	652	2674
196	654	2667
197	656	2657
198	657	2646
199	665	2660
200	667	2651
201	668	2641
202	670	2630
203	671	2620
204	675	2618
205	678	2614
206	680	2605
207	681	2595
208	683	2585
209	684	2574
210	685	2564
211	691	2570
212	693	2561
213	694	2551
214	696	2541
215	697	2531
216	698	2521
217	700	2511
218	701	2500
219	706	2503
220	708	2496
221	709	2487
222	711	2477
223	712	2467
224	713	2458
225	714	2448
226	720	2452
227	722	2445
228	723	2437
229	725	2428
230	726	2418
231	727	2409
232	729	2400
233	730	2391
234	734	2392
235	736	2385
236	738	2376
237	739	2367
238	740	2358
239	742	2350
240	743	2340
241	745	2333
242	749	2334
243	751	2328
244	753	2321
245	754	2314
246	756	2305
247	757	2297
248	758	2289
249	762	2288
250	765	2283
251	767	2277
252	768	2270
253	770	2262
254	771	2254
255	772	2246
256	774	2238
257	778	2239
258	781	2235
259	783	2228
260	784	2222
261	786	2215
262	788	2208
263	789	2201
264	794	2203
265	797	2199
266	802	2202
267	805	2199
268	815	2216
269	819	2214
270	822	2213
271	825	2209
272	829	2208
273	846	2241
274	849	2238
275	855	2244
276	858	2240
277	861	2236
278	865	2235
279	876	2253
280	881	2255
281	887	2259
282	889	2253
283	891	2248
284	894	2243
285	895	2236
286	898	2233
287	901	2229
288	903	2222
289	905	2215
290	907	2211
291	909	2204
292	911	2198
293	918	2204
294	920	2200
295	922	2193
296	924	2187
297	925	2180
298	927	2175
299	932	2176
300	934	2170
301	937	2166
302	938	2159
303	939	2152
304	941	2144
305	945	2144
306	947	2139
307	949	2132
308	951	2126
309	952	2120
310	953	2113
311	955	2106
312	956	2099
313	960	2097
314	962	2093
315	964	2086
316	965	2081
317	967	2075
318	969	2069
319	970	2062
320	972	2056
321	976	2055
322	977	2049
323	979	2044
324	980	2037
325	982	2030
326	983	2024
327	984	2017
328	985	2010
329	989	2008
330	991	2004
331	993	1998
332	994	1991
333	995	1985
334	997	1979
335	998	1972
336	999	1966
337	1000	1959
